candidate,frequency,links
main result,15,wikidata.org/wiki/Q1350408;wikidata.org/wiki/Q59274576;wikidata.org/wiki/Q104529387;wikidata.org/wiki/Q82295994;wikidata.org/wiki/Q504553;wikidata.org/wiki/Q21101125;wikidata.org/wiki/Q54943715;wikidata.org/wiki/Q2736;wikidata.org/wiki/Q15311574;wikidata.org/wiki/Q14901481
Rinehart structure,2,wikidata.org/wiki/Q71619169;wikidata.org/wiki/Q35399169;wikidata.org/wiki/Q70400483;wikidata.org/wiki/Q67327831;wikidata.org/wiki/Q71602611;wikidata.org/wiki/Q70525957;wikidata.org/wiki/Q67586873;wikidata.org/wiki/Q68730667;wikidata.org/wiki/Q78319670;wikidata.org/wiki/Q78319687
cubical set,7,wikidata.org/wiki/Q59609383;wikidata.org/wiki/Q54335115;wikidata.org/wiki/Q114017561;wikidata.org/wiki/Q29565668;wikidata.org/wiki/Q25098845;wikidata.org/wiki/Q59609383;wikidata.org/wiki/Q54335115;wikidata.org/wiki/Q114017561;wikidata.org/wiki/Q29565668;wikidata.org/wiki/Q25098845
enriched category theory,7,wikidata.org/wiki/Q16978887;wikidata.org/wiki/Q113317553;wikidata.org/wiki/Q113317886
enriched category,8,wikidata.org/wiki/Q5379515;wikidata.org/wiki/Q7520909;wikidata.org/wiki/Q16978887;wikidata.org/wiki/Q58331945;wikidata.org/wiki/Q424178;wikidata.org/wiki/Q1401891;wikidata.org/wiki/Q3874301;wikidata.org/wiki/Q7852161;wikidata.org/wiki/Q5095737;wikidata.org/wiki/Q113317553
category theory,26,wikidata.org/wiki/Q217413;wikidata.org/wiki/Q105699359;wikidata.org/wiki/Q85850206;wikidata.org/wiki/Q5758318;wikidata.org/wiki/Q1850712;wikidata.org/wiki/Q7112576;wikidata.org/wiki/Q1322614;wikidata.org/wiki/Q48839330;wikidata.org/wiki/Q919107;wikidata.org/wiki/Q2291918
convenient way,1,wikidata.org/wiki/Q80301673;wikidata.org/wiki/Q56168887;wikidata.org/wiki/Q77816310;wikidata.org/wiki/Q73731051;wikidata.org/wiki/Q64016159;wikidata.org/wiki/Q73807553;wikidata.org/wiki/Q71539645;wikidata.org/wiki/Q63432413;wikidata.org/wiki/Q80125754;wikidata.org/wiki/Q63460787
many infinity,1,wikidata.org/wiki/Q28379756;wikidata.org/wiki/Q5276094;wikidata.org/wiki/Q58917764;wikidata.org/wiki/Q73783585;wikidata.org/wiki/Q114072983;wikidata.org/wiki/Q114061292;wikidata.org/wiki/Q114196508;wikidata.org/wiki/Q114055996
homological algebra,6,wikidata.org/wiki/Q579978;wikidata.org/wiki/Q59547267;wikidata.org/wiki/Q91777214;wikidata.org/wiki/Q6754178;wikidata.org/wiki/Q55934551;wikidata.org/wiki/Q18198935;wikidata.org/wiki/Q56656599;wikidata.org/wiki/Q5262625;wikidata.org/wiki/Q56268148;wikidata.org/wiki/Q55952658
internal preorder,1,
exact category,8,wikidata.org/wiki/Q5419218;wikidata.org/wiki/Q652369;wikidata.org/wiki/Q262372;wikidata.org/wiki/Q4650007;wikidata.org/wiki/Q1326955;wikidata.org/wiki/Q52375177;wikidata.org/wiki/Q2063566;wikidata.org/wiki/Q20055490;wikidata.org/wiki/Q83968262;wikidata.org/wiki/Q49008
pretorsion theory,1,
full subcategorie,9,wikidata.org/wiki/Q58697027;wikidata.org/wiki/Q103927515;wikidata.org/wiki/Q6101219
internal equivalence relation,3,
internal equivalence,5,wikidata.org/wiki/Q66990832;wikidata.org/wiki/Q91827190;wikidata.org/wiki/Q34922883;wikidata.org/wiki/Q110502417;wikidata.org/wiki/Q110502414;wikidata.org/wiki/Q35575088;wikidata.org/wiki/Q50092717;wikidata.org/wiki/Q42217977;wikidata.org/wiki/Q84854751;wikidata.org/wiki/Q81333648
